year,age,maritl,race,education,region,jobclass,health,health_ins,wage
2003,20,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.361233597254246
2007,51,2. Married,4. Other,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.93449845124357
2009,65,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.826102939939768
2009,37,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.801041943561543
2008,24,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.0377680405098895
2003,36,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.521318856869767
2005,45,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.8750612633917
2008,33,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.62321723414596
2009,36,4. Divorced,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.750365541355424
2004,32,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.916409487265636
2009,45,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.6958810723263715
2003,51,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.649588523537207
2005,33,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.91907809237607
2003,47,4. Divorced,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.43136376415899
2003,37,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.27875360095283
2008,41,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.79934054945358
2005,23,1. Never Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.4745197895419695
2009,57,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.77608995427954
2006,61,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5
2007,47,4. Divorced,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.44715803134222
2003,29,2. Married,3. Asian,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.349073139110863
2005,37,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.85162989557068
2005,57,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,5.018422622490163
2004,39,1. Never Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.39794000867204
2007,59,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.0528377081631195
2007,31,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.8304790031770155
2009,26,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.556404277980036
2009,51,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.590120000561168
2006,38,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.768595106736475
2006,51,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.632650802493857
2004,50,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.37844735175742
2005,32,2. Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.77815125038364
2007,38,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.2864698986620615
2005,49,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.014471087318029
2005,40,1. Never Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.30102999566398
2007,60,2. Married,3. Asian,Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,5.04139268515823
2007,30,1. Never Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.494576800801201
2003,41,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.75534898114183
2009,32,1. Never Married,1. White,Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.74036268949424
2009,26,1. Never Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.468486283788891
2004,41,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.39794000867204
2008,53,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.943357938057287
2005,35,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.57978359661681
2008,50,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.65985648204326
2004,43,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.088629949267267
2003,50,5. Separated,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.078910135427356
2009,19,1. Never Married,2. Black,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.342872895592624
2004,42,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.363625338166236
2007,53,2. Married,3. Asian,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.412842221177202
2004,22,1. Never Married,2. Black,Some College,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.55630250076729
2003,49,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.526361496166037
2005,33,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.9091805327954106
2005,31,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.573711862796668
2004,43,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.50514997831991
2009,57,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.69897000433602
2005,40,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5
2003,48,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.232044638484273
2004,46,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.810328004846643
2009,58,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.6148767287121375
2003,50,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.65321251377534
2005,38,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.60205999132796
2004,33,1. Never Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.61909333062674
2007,52,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.00432137378264
2004,48,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.30102999566398
2006,53,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.07918124604763
2008,37,1. Never Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.77815125038364
2007,43,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.836293687064545
2008,54,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.68124123737559
2004,41,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.04257551244019
2005,57,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.190973992524606
2007,54,2. Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.77524625974024
2009,25,4. Divorced,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.288551193475476
2003,35,5. Separated,1. White,< HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.13033376849501
2008,29,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.20411998265593
2009,36,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.59061783348625
2005,43,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.8083396050239005
2007,41,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.229077147069977
2003,52,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.183846102053
2005,48,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.091666451855054
2003,51,2. Married,2. Black,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.234377057702898
2004,55,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.77815125038364
2004,37,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.57978359661681
2007,48,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.7160033436348
2003,42,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.6232492903979
2007,43,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.721675716237764
2006,32,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.590593500394917
2006,33,1. Never Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.471452812521511
2003,48,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.109731034321901
2009,20,1. Never Married,2. Black,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,3.83657727484065
2005,43,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.008270979319798
2003,58,4. Divorced,2. Black,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.072460644942255
2004,38,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.60205999132796
2008,23,1. Never Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.289085823267717
2009,54,4. Divorced,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.674858975757865
2007,66,2. Married,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.60205999132796
2009,47,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.02938377768521
2003,35,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.34242268082221
2008,39,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.262805639004344
2005,35,1. Never Married,2. Black,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.82994669594164
2006,40,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.32559775286002
2006,41,2. Married,3. Asian,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.816408399657002
2004,40,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.17609125905568
2006,50,2. Married,2. Black,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.1075338504085375
2004,35,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.865063366537314
2009,43,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.55630250076729
2005,26,1. Never Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.65321251377534
2009,23,1. Never Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,3.8345890027019744
2003,61,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.8750612633917
2004,24,1. Never Married,1. White,College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,3.7493666195274504
2006,66,2. Married,2. Black,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.77815125038364
2006,50,3. Widowed,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.617194175041828
2005,22,1. Never Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.159234299972944
2004,62,2. Married,2. Black,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.411370047707265
2003,55,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.516915904967337
2004,41,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.304339258345726
2005,54,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.993228559335079
2009,29,2. Married,3. Asian,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.821433478032727
2004,39,2. Married,2. Black,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.91142485113344
2006,71,4. Divorced,1. White,College Grad,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.387144362357993
2003,22,1. Never Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.423865895582345
2007,48,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.880723876323338
2009,35,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.75587485567249
2003,46,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.597690506494593
2003,51,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.69897000433602
2005,55,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.511934301172585
2005,36,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.977644734970143
2008,57,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.472798122873855
2005,21,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.046005308288341
2006,60,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.85733249643127
2006,41,1. Never Married,2. Black,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.30102999566398
2004,56,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.880679951673146
2005,32,1. Never Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.603173246544318
2003,32,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.254792475615026
2006,36,4. Divorced,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.68124123737559
2006,28,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.188618315247201
2009,60,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,2. No,4.92941892571429
2003,41,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.49136169383427
2006,55,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.60205999132796
2003,36,2. Married,2. Black,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.69897000433602
2006,46,1. Never Married,2. Black,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.50514997831991
2008,62,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.6311848283284345
2006,44,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.640180829663434
2006,36,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.884070839929709
2004,41,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.911277930417818
2006,22,1. Never Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.704617087882559
2008,51,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.86740855652279
2008,57,2. Married,1. White,< HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.70757017609794
2005,55,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.653917101063341
2003,36,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.189815127920934
2008,43,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.62321723414596
2003,38,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,1. <=Good,2. No,3.17609125905568
2006,27,1. Never Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.64345267648619
2007,32,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.77815125038364
2009,44,1. Never Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.27230584440209
2008,56,2. Married,3. Asian,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.62321723414596
2007,38,2. Married,2. Black,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.092205035176584
2003,36,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.60205999132796
2005,28,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.69019608002851
2005,39,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.556818680762083
2008,42,1. Never Married,2. Black,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.433939405834078
2009,51,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.41497334797082
2004,55,2. Married,2. Black,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.499743244018901
2007,39,1. Never Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.8750612633917
2003,42,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.69780453269401
2006,33,2. Married,2. Black,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.7634279935629404
2008,23,1. Never Married,1. White,HS Grad,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.312265108323616
2003,40,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.606647437463817
2003,40,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.39269695325967
2009,51,2. Married,3. Asian,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.68124123737559
2007,76,2. Married,3. Asian,College Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.166463371495455
2007,57,4. Divorced,1. White,Advanced Degree,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.47712125471966
2003,27,5. Separated,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.55630250076729
2005,26,1. Never Married,2. Black,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.43874333421966
2005,25,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.609216814509353
2005,27,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.61909333062674
2004,33,1. Never Married,1. White,Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.47712125471966
2003,51,4. Divorced,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.47712125471966
2005,22,1. Never Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.544511854129454
2005,47,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.949694319777462
2009,34,1. Never Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.91645394854993
2008,47,4. Divorced,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.68124123737559
2005,31,1. Never Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.81291335664286
2005,46,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.409771279999338
2006,47,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.4540353335790375
2006,49,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,5.027319399774587
2003,40,2. Married,2. Black,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.8933960573308255
2004,51,2. Married,1. White,< HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.39794000867204
2008,31,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.33445375115093
2003,58,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.586671625868438
2005,48,2. Married,2. Black,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.4749297859928
2004,54,4. Divorced,2. Black,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.7203487919249545
2007,56,1. Never Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.03742649794062
2007,61,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,1. Yes,4.698764055986675
2009,32,2. Married,3. Asian,Advanced Degree,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.92941892571429
2007,60,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.053914299814505
2006,42,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.92941892571429
2003,22,1. Never Married,3. Asian,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,3.80617997398389
2003,46,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.67024585307412
2005,53,2. Married,1. White,< HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.74036268949424
2008,43,4. Divorced,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.286564007406926
2009,32,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.278750514618026
2009,30,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.911452504268941
2009,50,1. Never Married,2. Black,Advanced Degree,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.69897000433602
2006,40,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.62689955920852
2009,55,2. Married,1. White,< HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.38021124171161
2004,42,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.0087951666322175
2004,35,1. Never Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.3358772248185655
2004,33,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.689887090610254
2004,33,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.63346845557959
2003,38,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.914930222349048
2009,41,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.867992844270764
2009,42,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.81624129999178
2009,58,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.996600110040258
2009,45,2. Married,1. White,HS Grad,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.397829213688695
2009,47,1. Never Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.638465096165303
2005,30,2. Married,1. White,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.715361939303793
2009,34,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.166557732217778
2006,43,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,5.00860017176192
2008,58,5. Separated,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.60205999132796
2009,44,2. Married,2. Black,Some College,2. Middle Atlantic,1. Industrial,1. <=Good,2. No,4.6532318153234
2005,28,2. Married,1. White,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.11394335230684
2004,46,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.66275783168157
2008,36,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.68124123737559
2007,37,2. Married,2. Black,HS Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.467202525781544
2008,47,2. Married,1. White,College Grad,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.197988332343901
2007,56,4. Divorced,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,2. No,4.60205999132796
2009,38,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.7160033436348
2007,41,1. Never Married,2. Black,< HS Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.32221929473392
2004,62,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,1. <=Good,1. Yes,4.54406804435028
2004,40,2. Married,1. White,Some College,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.47712125471966
2004,44,2. Married,3. Asian,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,4.81291335664286
2007,56,2. Married,1. White,College Grad,2. Middle Atlantic,1. Industrial,2. >=Very Good,1. Yes,4.50893949617707
2008,51,2. Married,2. Black,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.34242268082221
2005,41,2. Married,1. White,Some College,2. Middle Atlantic,1. Industrial,2. >=Very Good,2. No,4.46239799789896
2005,52,2. Married,1. White,Advanced Degree,2. Middle Atlantic,2. Information,2. >=Very Good,1. Yes,5.17609125905568
